   374539232.       127940040.       94900384.0       2357912.50       99803544.0       9821936.00       969.971863    
   7819477.50       125727032.       91966712.0       2283847.00       82900976.0       9647070.00       940.848022    
   293324.469       123914632.       89120832.0       2212103.00       71092864.0       9475314.00       912.598389    
   16767.4199       122296088.       86360352.0       2142608.00       61894448.0       9306616.00       885.196838    
   1332.54980       120812848.       83682920.0       2075292.00       54460636.0       9140919.00       858.617920    
   138.369370       119418400.       81086240.0       2010087.00       48241260.0       8978172.00       832.836975    
   17.9873295       118090056.       78568056.0       1946927.25       42938536.0       8818320.00       807.830017    
   2.83423901       116814832.       76126160.0       1885748.88       38363480.0       8661314.00       783.573792    
  0.527600169       115588776.       73758408.0       1826490.00       34399536.0       8507102.00       760.045837    
  0.113554917       114398992.       71462688.0       1769090.62       30920292.0       8355634.00       737.224182    
   2.77780741E-02   113243744.       69236936.0       1713492.75       27859652.0       8206862.50       715.087708    
   7.60964910E-03   112118344.       67079160.0       1659639.88       25152808.0       8060738.50       693.615845    
   2.30544037E-03   111016048.       64987392.0       1607477.50       22740486.0       7917215.00       672.788635    
   7.64425029E-04   109936984.       62959720.0       1556952.75       20590396.0       7776246.00       652.586670    
   2.74831138E-04   108878616.       60994280.0       1508014.38       18667902.0       7637786.00       632.991272    
   1.06275751E-04   107838808.       59089252.0       1460612.75       16944192.0       7501790.50       613.984192    
   4.38901407E-05   106815768.       57242860.0       1414699.75       15395038.0       7368215.50       595.547729    
   4.38901516E-05   105807944.       55453384.0       1370228.75       13999878.0       7237017.50       577.664795    
   4.38901625E-05   104805680.       53719132.0       1327154.50       12727723.0       7108155.00       560.318787    
   4.38901698E-05   103816464.       52038472.0       1285433.38       11579466.0       6981586.00       543.493530    
   4.38901807E-05   102839248.       50409804.0       1245022.75       10541535.0       6857270.00       527.173462    
   4.38901916E-05   101873096.       48831572.0       1205881.88       9602119.00       6735166.50       511.343414    
   4.38902025E-05   100917200.       47302268.0       1167970.62       8750890.00       6615236.50       495.988617    
   4.38902134E-05   99970816.0       45820424.0       1131250.50       7978777.00       6497441.00       481.094818    
   4.38902243E-05   99033312.0       44384604.0       1095684.25       7277784.00       6381742.00       466.648224    
